country,year,SHADOW (author: WB Informal Economy DB - DGE),SHADOW_MIMIC (author: MIMIC series),TAX,ACCOUNT,DIGPAY,"ATM_per100k (WB, real)",POS_ATM (author: add POS from IMF FAS),CASHLESS_VAL (author: IMF FAS),"CASH (author: currency/M2, IFS/central bank)",GDPPC_USD,OPEN,UNEMP,INFL,REMIT,URBAN,MOBILE,REG_QUALITY,RULE_OF_LAW,INST,MOBILE_COVERAGE (author: ITU),BROADBAND
Albania,2004,,,17.4267,,,4.1914,,,,2567.2976,65.0379,16.306,2.28,15.6707,44.9785,40.6495,-0.2879,-0.5145,-0.4012,,
Albania,2005,,,,,,9.1829,,,,2712.8698,69.1163,15.966,2.3666,15.6202,45.9938,49.7453,-0.3557,-0.6642,-0.51,,0.0088
Albania,2006,,,,,,13.7728,,,,2894.3603,72.2019,15.626,2.3707,14.8567,47.0701,62.6026,-0.1314,-0.6119,-0.3716,,
Albania,2007,,,,,,19.2316,,,,3105.8797,79.9119,15.966,2.9327,13.2053,48.2023,76.8284,-0.0069,-0.5254,-0.2661,,0.3308
Albania,2008,,,,,,28.4233,,,,3345.9816,75.2485,13.06,3.3209,14.0708,49.3851,62.1342,0.0382,-0.4727,-0.2172,,2.1384
Albania,2009,,,,,,32.6728,,,,3459.247,73.3214,13.674,2.2669,13.9248,50.6132,83.1929,0.1277,-0.4057,-0.139,,3.1066
Albania,2010,,,,,,33.8008,,,,3579.8241,75.5325,14.086,3.6271,13.1268,51.8816,91.9299,0.1073,-0.3178,-0.1053,,3.6036
Albania,2011,,,17.9067,28.2681,,35.042,,,,3677.8946,80.699,13.481,3.4281,11.9632,53.2917,106.4742,0.0538,-0.2993,-0.1227,,4.4036
Albania,2012,,,17.5879,,,35.5992,,,,3771.8478,76.9684,13.376,2.0316,11.5933,53.8638,120.2747,-0.0836,-0.4022,-0.2429,,5.5013
Albania,2013,,,16.4765,,,35.4,,,,3895.8998,75.7506,15.866,1.9376,10.0168,54.298,126.7718,-0.0639,-0.4812,-0.2726,,6.2786
