country,year,SHADOW (author: WB Informal Economy DB - DGE),SHADOW_MIMIC (author: MIMIC series),TAX,ACCOUNT,DIGPAY,"ATM_per100k (WB, real)",POS_ATM (author: add POS from IMF FAS),CASHLESS_VAL (author: IMF FAS),"CASH (author: currency/M2, IFS/central bank)",GDPPC_USD,OPEN,UNEMP,INFL,REMIT,URBAN,MOBILE,REG_QUALITY,RULE_OF_LAW,INST,MOBILE_COVERAGE (author: ITU),BROADBAND
Kazakhstan,2004,,,13.9087,,,9.4703,,,,6233.2944,96.4092,8.4,6.8821,0.133,54.9201,15.4383,-0.8387,-0.9649,-0.9018,,0.0126
Kazakhstan,2005,,,,,,14.0941,,,,6787.4116,97.7625,8.13,7.58,0.1086,54.6482,33.8049,-0.5786,-0.838,-0.7083,,0.0188
Kazakhstan,2006,,,,,,18.6859,,,,7450.3969,91.4535,7.79,8.7217,0.1032,54.4137,48.2854,-0.427,-0.9284,-0.6777,,0.1894
Kazakhstan,2007,,,,,,35.6361,,,,8036.876,92.1616,7.26,10.8468,0.1364,54.2346,75.7982,-0.4277,-0.8239,-0.6258,,1.6631
Kazakhstan,2008,,,,,,50.5107,,,,8216.5218,94.2948,6.63,17.1399,0.0941,54.1288,90.7713,-0.2821,-0.7908,-0.5364,,2.0534
Kazakhstan,2009,,,,,,55.9301,,,,8218.3991,75.7661,6.55,7.3161,0.1719,54.1167,102.6676,-0.3979,-0.7351,-0.5665,,3.4738
Kazakhstan,2010,,,15.7124,,,60.5253,,,,8704.7066,74.1383,5.77,7.4005,0.1524,54.2054,115.2392,-0.3592,-0.7754,-0.5673,,5.1649
Kazakhstan,2011,,,18.2578,42.1051,,63.9832,,,,9223.3021,73.1179,5.39,8.4529,0.0933,54.3996,147.9011,-0.311,-0.5865,-0.4487,,6.9929
Kazakhstan,2012,,,13.3121,,,67.7193,,,,9531.9148,73.7237,5.29,5.1957,0.1361,54.6921,174.7094,-0.3353,-0.6431,-0.4892,,9.4608
Kazakhstan,2013,,,16.0302,,,69.6267,,,,9959.7259,65.4076,5.2,5.9428,0.1443,55.078,172.9553,-0.3373,-0.6798,-0.5085,,11.1573
Kazakhstan,2014,,,14.1934,53.9074,46.7353,70.9475,,,,10226.7101,64.972,5.06,6.8494,0.1813,55.5524,160.5026,-0.1482,-0.5977,-0.373,,12.0564
Kazakhstan,2015,,,9.8357,,,69.9256,,,,10196.1226,53.0497,4.93,6.6783,0.1596,56.1106,145.4825,-0.0714,-0.4919,-0.2817,,12.7238
Kazakhstan,2016,,,9.9243,,,72.4519,,,,10151.4233,60.3116,4.96,14.3611,0.2798,56.7476,139.0512,-0.1354,-0.5109,-0.3231,,12.7965
Kazakhstan,2017,,,10.303,58.6975,53.8741,72.7527,,,,10404.2719,56.8254,4.9,7.4427,0.336,57.4586,143.1128,0.0833,-0.4615,-0.1891,,13.8114
Kazakhstan,2018,,,11.7178,,,81.7395,,,,10670.212,63.528,4.85,6.1637,0.3446,58.2388,137.6748,0.0553,-0.3705,-0.1576,,13.0002
Kazakhstan,2019,,,11.7869,,,82.9779,,,,10989.6841,64.8586,4.8,5.3336,0.2786,59.0832,133.8797,0.1127,-0.431,-0.1592,,13.0799
Kazakhstan,2020,,,8.3188,,,92.2902,,,,10565.036,57.0264,4.89,6.7182,0.2188,59.9871,124.6985,0.0539,-0.4154,-0.1807,,13.4503
Kazakhstan,2021,,,9.4471,81.1085,77.9265,89.3716,,,,10873.3915,58.6686,5.568,8.0415,0.1572,61.0303,123.9439,0.0132,-0.4656,-0.2262,,13.9468
Kazakhstan,2022,,,12.0617,,,87.8854,,,,11058.3482,68.3343,4.86,15.0279,0.2132,61.4442,125.6416,-0.0641,-0.4406,-0.2524,,14.474
Kyrgyz Republic,2004,,,,,,0.6111,,,,831.4821,93.8157,2.68,4.1107,8.0965,35.3059,5.0619,-0.2938,-0.6316,-0.4627,,0.0367
Kyrgyz Republic,2005,,,,,,0.9708,,,,820.7095,95.084,2.816,4.3387,12.7325,35.3031,10.3244,-0.5273,-1.0411,-0.7842,,0.0437
Kyrgyz Republic,2006,,,,,,1.2059,,,,837.138,120.75,2.962,5.5521,16.6917,35.2998,23.8858,-0.5764,-1.1818,-0.8791,,0.0523
Kyrgyz Republic,2007,,,,,,2.3995,,,,900.028,137.0584,3.094,10.2301,18.5139,35.2955,40.8089,-0.4812,-1.0852,-0.7832,,0.0586
Kyrgyz Republic,2008,,,,,,4.7201,,,,966.41,146.1061,3.207,24.5201,23.7993,35.2897,63.5284,-0.4913,-1.2176,-0.8545,,0.3562
Kyrgyz Republic,2009,,,,,,8.3894,,,,981.2209,133.3792,3.343,6.8366,20.9371,35.2816,83.1255,-0.5703,-1.2184,-0.8943,,0.3215
Kyrgyz Republic,2010,,,,,,7.3431,,,,962.7648,133.2329,3.503,7.9677,26.4101,35.2678,96.0617,-0.4726,-1.1675,-0.82,,0.4198
Kyrgyz Republic,2011,,,,3.7573,,11.918,,,,1005.4832,136.1798,3.644,16.6363,27.5695,35.2467,112.2007,-0.4153,-0.9953,-0.7053,,0.6978
Kyrgyz Republic,2012,,,,,,15.587,,,,985.8473,139.6759,3.786,2.7684,30.7544,35.2189,119.3334,-0.4992,-0.9346,-0.7169,,0.9587
Kyrgyz Republic,2013,,,,,,20.5603,,,,1069.784,134.0268,3.881,6.6138,31.0564,35.1851,116.2179,-0.4371,-0.9467,-0.6919,,2.3494
Kyrgyz Republic,2014,,,17.5487,18.4706,15.093,24.6597,,,,1088.5821,125.1262,4.02,7.5342,30.0321,35.1455,128.2305,-0.5415,-0.8193,-0.6804,,2.8941
Kyrgyz Republic,2015,,,16.8017,,,30.0061,,,,1105.6519,110.9616,4.138,6.5033,25.2719,35.1009,126.2844,-0.5597,-0.838,-0.6988,,3.5242
Kyrgyz Republic,2016,,,16.9492,,,30.982,,,,1128.3162,105.8236,4.294,0.3888,29.2761,35.0516,124.639,-0.3906,-0.8008,-0.5957,,3.9433
Kyrgyz Republic,2017,,,17.0463,39.942,36.0611,33.0358,,,,1157.1828,100.6174,4.425,3.1753,32.2705,34.9981,136.1376,-0.2937,-0.7135,-0.5036,,4.148
Kyrgyz Republic,2018,,,17.9989,,,36.3014,,,,1175.0713,98.8756,4.559,1.5427,32.5056,34.9409,137.7423,-0.3502,-0.6922,-0.5212,,3.9518
Kyrgyz Republic,2019,,,15.9638,,,38.5481,,,,1201.877,94.4303,5.45,1.1336,28.7859,34.8805,132.7767,-0.4212,-0.7384,-0.5798,,4.1437
Kyrgyz Republic,2020,,,14.0363,,,41.1053,,,,1093.3286,78.9923,5.945,6.3254,31.807,34.8174,109.7801,-0.4846,-0.7295,-0.607,,4.3366
Kyrgyz Republic,2021,,,16.4913,45.0948,39.4278,41.6139,,,,1132.5547,100.2614,5.149,11.905,32.5635,34.7521,108.1717,-0.5122,-0.8793,-0.6957,,4.4326
Kyrgyz Republic,2022,,,19.542,,,43.622,,,,1212.1781,133.7867,4.767,13.9229,26.9192,34.7003,106.926,-0.526,-0.9265,-0.7263,,5.6048
Tajikistan,2004,,,9.821,,,,,,,590.9571,128.3382,3.45,7.142,12.1378,26.5328,1.9881,-1.0398,-0.9231,-0.9815,,
Tajikistan,2005,,,,,,0.6749,,,,618.3337,126.9947,3.45,7.0919,24.407,26.5325,3.8269,-0.9735,-1.0588,-1.0162,,
Tajikistan,2006,,,,,,1.3589,,,,649.1633,141.1539,3.65,10.0109,34.4804,26.5321,30.4638,-1.0752,-1.1515,-1.1134,,
Tajikistan,2007,,,,,,2.0764,,,,686.4809,145.5281,2.874,13.1491,40.696,26.5315,29.6445,-1.0484,-1.1643,-1.1063,,0.0507
Tajikistan,2008,,,,,,2.8486,,,,726.1855,114.4801,4.942,20.4705,44.1265,26.5306,50.0588,-1.0591,-1.1783,-1.1187,,0.0498
Tajikistan,2009,,,,,,3.8029,,,,739.2129,85.9781,7.028,6.4482,31.4438,26.5292,65.4186,-1.0755,-1.2189,-1.1472,,0.0587
Tajikistan,2010,,,,,,4.7918,,,,770.6041,73.493,7.037,6.4453,35.8104,26.5274,77.6363,-0.9974,-1.2143,-1.1058,,0.0614
Tajikistan,2011,,,,2.5349,,7.0707,,,,809.3682,79.7842,7.04,12.4315,41.738,26.4792,80.8201,-0.9934,-1.2277,-1.1105,,0.0642
Tajikistan,2012,,,,,,8.8723,,,,849.5191,83.1759,7.022,5.8312,42.2158,26.4102,81.4566,-0.9521,-1.2277,-1.0899,,0.0674
Tajikistan,2013,,,,,,11.0187,,,,889.8824,71.7437,7.019,5.0096,43.7684,26.4883,91.7288,-0.962,-1.2632,-1.1126,,0.0706
Tajikistan,2014,,,,11.4592,8.7473,13.7698,,,,925.971,54.6072,7.024,6.1044,37.136,26.5634,94.9386,-0.9411,-1.1408,-1.041,,0.0724
Tajikistan,2015,,,,,,14.5152,,,,956.9163,49.9378,7.033,5.7146,27.3066,26.4788,98.2087,-0.9221,-1.0909,-1.0065,,0.0694
Tajikistan,2016,,,,,,14.8372,,,,997.3526,55.7246,7.036,6.0046,26.7061,26.3719,106.0274,-0.9548,-1.1009,-1.0278,,0.0677
Tajikistan,2017,,,,47.0244,43.9336,12.4128,,,,1042.2639,53.7861,7.035,,29.685,26.2732,109.0035,-0.7907,-1.1642,-0.9774,,0.066
Tajikistan,2018,,,,,,12.0106,,,,1094.8002,55.8461,7.028,,28.1177,26.2339,107.4422,-0.7695,-1.1001,-0.9348,,
Tajikistan,2019,,,,,,15.2298,,,,1148.3468,56.045,7.026,,27.9718,26.1301,115.3729,-0.8009,-1.2464,-1.0236,,0.063
Tajikistan,2020,,,,,,21.8597,,,,1171.9013,55.7491,7.576,,26.8849,26.1925,62.2826,-0.8082,-1.2395,-1.0238,,0.37
Tajikistan,2021,,,10.346,39.4882,33.1332,23.5706,,,,1254.07,71.8259,7.687,,32.6894,26.1992,64.0875,-0.8413,-1.2592,-1.0503,,0.496
Tajikistan,2022,,,10.3443,,,28.2488,,,,1325.7555,65.4355,7.051,,49.8953,26.1957,63.8442,-0.8423,-1.1993,-1.0208,,0.5852
Turkmenistan,2004,,,,,,,,,,2365.7219,59.32,8.419,,,46.7375,1.0105,-1.8552,-1.1886,-1.5219,,
Turkmenistan,2005,,,,,,,,,,2624.2316,53.9723,7.495,,,46.7729,2.0783,-2.0857,-1.5507,-1.8182,,
Turkmenistan,2006,,,,,,,,,,2858.5322,52.4473,6.601,,,46.806,4.2134,-2.0866,-1.5011,-1.7938,,
Turkmenistan,2007,,,,,,,,,,3115.9793,56.2778,5.719,,,46.837,7.2782,-1.9616,-1.4446,-1.7031,,
Turkmenistan,2008,,,,,,,,,,3506.5045,94.7241,4.852,,,46.8658,21.2375,-1.8806,-1.4014,-1.641,,0.0014
Turkmenistan,2009,,,,,,,,,,3647.6781,104.9522,4,,,46.8925,39.1242,-1.9109,-1.4036,-1.6572,,0.0085
Turkmenistan,2010,,,,,,,,,,3902.542,97.2464,4,,,46.9172,57.4662,-1.8095,-1.4044,-1.607,,0.013
Turkmenistan,2011,,,,0.4049,,,,,,4383.1438,118.0955,4.003,,,46.9398,93.2538,-1.8504,-1.4017,-1.626,,0.0194
Turkmenistan,2012,,,,,,,,,,4762.6605,119.177,3.994,,,46.9603,101.5745,-1.7992,-1.4033,-1.6012,,0.0241
Turkmenistan,2013,,,,,,,,,,5131.1409,109.4812,3.993,,,46.9788,103.131,-1.7996,-1.419,-1.6093,,0.0303
Turkmenistan,2014,,,,,,,,,,5535.5016,102.7609,4.005,,,46.9954,118.6134,-1.7373,-1.4533,-1.5953,,0.0379
Turkmenistan,2015,,,,,,,,,,5759.4979,73.228,4.016,,,47.01,126.163,-1.7347,-1.4449,-1.5898,,0.4537
Turkmenistan,2016,,,,,,,,,,5979.4763,58.2932,4.026,,,47.0227,134.8262,-1.789,-1.4741,-1.6315,,0.7344
Turkmenistan,2017,,,,40.5764,34.2975,,,,,6221.4196,47.3984,4.035,,,47.0335,,-1.7884,-1.4803,-1.6343,,1.1562
Turkmenistan,2018,,,,,,,,,,6460.1302,41.6379,4.036,,,47.0424,87.773,-1.7587,-1.4833,-1.621,,1.7136
Turkmenistan,2019,,,,,,,,,,6719.3232,37.6561,4.035,,,47.0495,88.2099,-1.7092,-1.5949,-1.6521,,2.5967
Turkmenistan,2020,,,,,,,,,,6964.3816,29.9542,4.489,,,47.0547,88.703,-1.7107,-1.5304,-1.6206,,3.4042
Turkmenistan,2021,,,,,,,,,,7244.6139,33.4125,4.458,,,47.0581,88.1929,-1.7112,-1.5826,-1.6469,,4.0826
Turkmenistan,2022,,,,,,,,,,7549.253,37.8107,4.017,,,47.0592,,-1.7128,-1.4336,-1.5732,,5.2171
Uzbekistan,2004,,,,,,,,,,1613.6427,76.5957,8.152,,,50.5697,2.0903,-1.6385,-1.0754,-1.3569,,0.0212
Uzbekistan,2005,,,,,,,,,,1704.3389,69.5253,7.092,,7.1719,51.0781,2.7317,-1.6128,-1.3863,-1.4996,,0.0314
Uzbekistan,2006,,,,,,,,,,1807.8733,67.4713,6.035,,8.1802,51.4639,9.4774,-1.5907,-1.3985,-1.4946,,0.0324
Uzbekistan,2007,,,,,,,,,,1951.5788,74.4142,4.99,,7.6489,51.7087,21.0203,-1.4474,-1.1632,-1.3053,,0.0708
Uzbekistan,2008,,,,,,,,,,2095.3821,79.748,4.89,,12.2844,51.7944,45.0095,-1.413,-1.131,-1.272,,0.2399
Uzbekistan,2009,,,,,,,,,,2228.0553,68.6731,5.04,,6.4652,51.6105,58.7627,-1.4822,-1.2202,-1.3512,,0.3176
Uzbekistan,2010,,,,,,,,,,2359.642,44.1433,5.36,,6.1849,51.3322,73.8123,-1.505,-1.3247,-1.4148,,0.4157
Uzbekistan,2011,,,11.0406,22.5039,,,,,,2512.6878,44.3314,4.96,13.7797,7.2805,51.3396,88.2685,-1.5808,-1.3631,-1.472,,0.5126
Uzbekistan,2012,,,11.8098,,,,,,,2657.0991,39.657,4.87,13.2088,8.0829,51.336,69.2849,-1.4475,-1.2021,-1.3248,,0.7538
Uzbekistan,2013,,,12.2157,,,,,,,2823.0021,37.5113,4.86,11.8414,7.7915,51.1277,72.332,-1.4472,-1.1418,-1.2945,,1.0305
Uzbekistan,2014,,,11.9274,40.71,38.3701,8.61,,,,2990.5634,32.1925,5.09,9.2831,7.4633,50.8869,71.5985,-1.4668,-1.0846,-1.2757,,2.7147
Uzbekistan,2015,,,11.978,,,10.6374,,,,3172.899,27.1725,5.15,8.7519,4.9641,50.6597,70.8415,-1.4349,-1.0656,-1.2503,,5.8141
Uzbekistan,2016,,,11.8226,,,22.1563,,,,3327.9093,25.6926,5.16,8.1309,5.9211,50.6572,74.367,-1.4002,-1.0432,-1.2217,,8.7786
Uzbekistan,2017,,,9.9996,37.0897,34.222,24.8433,,,,3425.7882,41.0443,5.83,13.8757,9.8651,50.6787,76.2605,-1.2927,-0.9963,-1.1445,,10.4346
Uzbekistan,2018,,,12.1523,,,29.8483,,,,3559.8544,61.3951,5.392,17.5242,12.41,50.5815,71.7444,-1.1477,-0.8956,-1.0216,,12.7373
Uzbekistan,2019,,,10.8386,,,39.5122,,,,3733.5044,62.3004,4.936,14.5257,12.1791,50.592,101.2598,-0.9216,-0.9439,-0.9327,,10.5554
Uzbekistan,2020,,,12.698,,,50.0016,,,,3723.8213,53.1071,5.293,12.8677,10.1013,50.767,99.4064,-1.0225,-0.9126,-0.9675,,15.807
Uzbekistan,2021,,,12.7324,44.1348,41.7219,54.1202,,,,3951.9966,54.7478,5.364,10.8492,11.4289,50.927,102.4101,-0.6939,-0.7002,-0.697,,21.8944
Uzbekistan,2022,,,11.4559,,,84.0069,,,,4109.0842,60.0484,4.456,11.4466,16.4521,50.9847,105.4716,-0.6483,-0.672,-0.6602,,25.7992
