country,year,SHADOW,SHADOW_MIMIC,TAX,ACCOUNT,DIGPAY,ATM_per100k,LGDPPC,GDPPC_USD,OPEN,UNEMP,INFL,REMIT,URBAN,MOBILE,BROADBAND,REG_QUALITY,RULE_OF_LAW,INST
Albania,2011,30.6074,33.6508,17.9067,28.2681,6.074677903110718,35.042,8.210095747874911,3677.8946,80.699,13.481,3.4281,11.9632,53.2917,106.4742,4.4036,0.0538,-0.2993,-0.12275
Albania,2012,30.5458,33.546,17.5879,31.507533333333335,12.793864706412094,35.5992,8.23532029299229,3771.8478,76.9684,13.376,2.0316,11.5933,53.8638,120.2747,5.5013,-0.0836,-0.4022,-0.2429
Albania,2013,29.9724,33.8653,16.4765,34.746966666666665,18.07653296305562,35.4,8.267679945745863,3895.8998,75.7506,15.866,1.9376,10.0168,54.298,126.7718,6.2786,-0.0639,-0.4812,-0.27255
Albania,2014,29.7679,33.8607,18.2081,37.9864,22.4609,34.8217,8.30526632225916,4045.1193,75.0212,18.055,1.6259,10.6872,54.7326,115.7006,7.1619,0.0565,-0.2764,-0.10994999999999999
Albania,2015,29.8274,33.7438,18.3813,38.66266666666667,24.5814,35.3967,8.342730060154556,4199.5391,71.2794,17.193,1.8962,11.2541,55.1579,117.3297,8.3788,0.0444,-0.2268,-0.0912
Albania,2016,29.9466,33.3905,17.4032,39.33893333333334,26.7019,34.1739,8.39650613316505,4431.5564,74.0145,15.418,1.2754,10.8937,55.5739,116.284,9.1922,0.0643,-0.2062,-0.07095
Albania,2017,29.9669,33.0118,18.5477,40.0152,28.8224,31.813,8.44424195306486,4648.2308,76.7874,13.616,1.9867,9.8944,55.9803,125.0999,10.4757,0.1105,-0.2057,-0.047599999999999996
Albania,2018,29.9187,32.5539,18.277,41.05495,30.255025,30.7623,8.495729240085174,4893.8238,75.6941,12.304,2.0281,9.4815,56.377,93.8031,12.5058,0.114,-0.1744,-0.030199999999999998
Albania,2019,29.7245,32.4233,17.931,42.0947,31.687649999999998,30.1141,8.531576553139603,5072.4365,75.3821,11.466,1.4111,9.4501,56.7639,91.1635,15.1193,0.0917,-0.2914,-0.09985
Albania,2020,29.3367,32.8291,16.8955,43.13445,33.120275,31.5303,8.513309057926604,4980.617,59.5207,11.639,1.6209,9.6184,57.1409,91.1881,17.7209,-0.0196,-0.2567,-0.13815
Armenia,2011,37.7506,43.6819,17.2194,17.4869,3.2654369552716247,41.3216,7.987469077498868,2943.8369,69.4356,18.884,7.65,17.7342,64.3207,109.8501,5.4929,0.371,-0.387,-0.008000000000000007
Armenia,2012,37.5061,43.2033,17.4916,17.547633333333334,6.745873234121277,48.0384,8.058250911257845,3159.7586,75.9617,17.511,2.558,18.033,64.3268,113.6974,7.2558,0.4081,-0.3573,0.025400000000000006
Armenia,2013,37.2692,43.1251,21.5862,17.608366666666665,9.417750435437704,51.6859,8.09141275740442,3266.2988,77.555,16.576,5.7897,19.7114,64.3584,114.4997,8.3167,0.3442,-0.302,0.021100000000000008
Armenia,2014,36.5299,43.2678,21.5992,17.6691,12.2709,57.4444,8.12949702642265,3393.0925,75.7789,17.498,2.9813,17.9044,64.4143,118.3654,9.3376,0.1234,-0.4145,-0.14554999999999998
Armenia,2015,36.2212,43.3836,20.9312,27.699066666666667,22.019166666666667,58.9939,8.164052992897634,3512.3935,71.6821,18.261,3.7317,14.1327,64.493,118.5991,9.8015,0.2129,-0.3963,-0.09169999999999999
Armenia,2016,35.6658,43.4115,21.2774,37.729033333333334,31.767433333333337,60.0613,8.170153111320177,3533.885,76.078,17.617,0.0,13.1075,64.5929,117.6708,10.2498,0.2425,-0.3081,-0.032799999999999996
Armenia,2017,35.3125,42.7821,20.7807,47.759,41.5157,63.01,8.246794156457783,3815.3747,87.2024,17.704,0.9696,13.3477,64.7125,119.6764,10.8173,0.2658,-0.3193,-0.026749999999999996
Armenia,2018,34.5871,42.3893,20.8701,49.656175000000005,43.0045,65.0353,8.30098401664263,4027.8339,92.4731,18.966,2.5202,11.9427,64.8503,123.0,11.9399,0.2852,-0.2187,0.03325
Armenia,2019,34.6181,42.195,22.2852,51.55335,44.493300000000005,67.8922,8.376426176124468,4343.4584,97.847,18.304,1.4434,11.2189,65.0047,124.6137,13.2819,0.2584,-0.248,0.00520000000000001
Armenia,2020,33.9738,43.5617,21.8604,53.450525,45.9821,67.8456,8.302040230134786,4032.0904,70.1214,18.175,1.2114,10.4971,65.1742,120.6824,14.8884,0.2081,-0.0752,0.06645000000000001
Azerbaijan,2011,47.0616,53.914,12.2248,14.9009,1.0188074122253212,29.8598,8.54659794295763,5149.2067,80.508,5.42,7.8583,2.8704,53.5085,109.3338,10.5213,-0.4419,-0.7606,-0.6012500000000001
Azerbaijan,2012,45.8224,53.8678,12.7786,19.6511,8.635019306885816,31.282,8.555100542486988,5193.175,78.2631,5.19,1.0662,2.8562,53.8076,107.9885,14.6072,-0.4894,-0.7516,-0.6205
Azerbaijan,2013,44.5833,53.3785,13.3883,24.4013,15.121278703723668,33.2541,8.598956682308117,5425.9956,74.6758,4.97,2.4157,2.337,54.1821,106.5832,18.0146,-0.39,-0.6655,-0.5277499999999999
Azerbaijan,2014,43.0566,53.3749,14.2125,29.1515,20.4165,35.5597,8.614066276520274,5508.6027,69.4832,4.91,1.3734,2.4541,54.6319,109.5667,19.7076,-0.277,-0.6479,-0.46245
Azerbaijan,2015,42.1758,53.5522,15.6032,28.958066666666667,21.803266666666666,36.473,8.612594930665232,5500.5036,72.6015,4.96,4.0277,2.3927,55.157,109.6821,19.4759,-0.2618,-0.7054,-0.48360000000000003
Azerbaijan,2016,41.5273,53.8302,14.5203,28.764633333333332,23.190033333333332,33.2172,8.57030129603905,5272.7182,90.0773,5.0,12.4434,1.6984,55.7575,103.2485,18.2771,-0.2167,-0.6732,-0.44495
Azerbaijan,2017,40.7811,53.6832,13.1335,28.5712,24.5768,32.8245,8.562023640537138,5229.2526,90.4023,5.0,12.9359,2.7733,56.4332,101.5899,18.1092,-0.1854,-0.7128,-0.4491
Azerbaijan,2018,40.4981,53.4947,12.9436,32.1087,28.17082,33.8221,8.568253044558501,5261.9294,91.6726,4.9,2.2685,2.6018,57.1842,102.9873,18.8342,-0.2005,-0.6534,-0.42695
Azerbaijan,2019,39.9669,53.4228,14.19,35.6462,31.76484,35.3867,8.584282182338892,5346.9532,85.8181,5.0,2.6106,2.647,58.1308,106.3283,19.2178,-0.1045,-0.6726,-0.38855
Azerbaijan,2020,39.0533,54.8374,15.1856,39.1837,35.35886,35.9399,8.534541869062888,5087.5002,72.0179,7.24,2.7598,3.2865,58.2935,101.5967,19.5986,-0.1056,-0.6182,-0.3619
Belarus,2011,40.3898,43.8568,14.5091,58.602,47.38565733102072,41.2464,8.6897488836754,5941.69,157.9743,6.024,53.2287,1.442,75.0598,112.9019,22.1485,-1.3323,-0.9979,-1.1651
Belarus,2012,39.7847,43.6753,14.663,63.062999999999995,53.49956970489618,46.2373,8.708249389917615,6052.6374,153.0853,5.962,59.2197,1.6032,75.5281,112.8224,26.755,-1.0299,-0.7381,-0.884
Belarus,2013,39.4058,43.6049,13.355,67.524,60.411544500361124,51.2795,8.718570838747201,6115.4329,119.816,5.942,18.3123,1.6067,75.9497,117.4335,29.4348,-1.0356,-0.8223,-0.92895
Belarus,2014,38.5553,43.4018,12.6977,71.985,66.3942,54.8774,8.734385742602175,6212.9167,110.6514,5.908,18.1196,1.5623,76.3405,120.3661,28.3377,-0.8947,-0.7472,-0.8209500000000001
Belarus,2015,38.5641,42.9811,14.1731,75.04196666666667,70.4803,55.6528,8.694008952428605,5967.056,115.9148,5.881,13.5345,1.65,76.6264,120.6696,30.6041,-1.0026,-0.7317,-0.86715
Belarus,2016,38.229,43.2793,13.7882,78.09893333333333,74.5664,55.449,8.667542644297278,5811.2016,125.2093,5.844,11.8366,2.0464,76.8459,120.4315,32.293,-0.9143,-0.7124,-0.81335
Belarus,2017,37.6375,43.0476,13.019,81.1559,78.6525,55.9022,8.693647016695559,5964.8967,133.3678,5.648,6.0318,2.2911,77.0208,120.2127,33.3125,-0.8817,-0.7599,-0.8208
Belarus,2018,37.5188,42.6945,14.6726,77.00949606326145,76.0331404060073,54.1512,8.726791531149477,6165.9132,139.3937,4.763,4.8723,2.4084,77.2133,122.5698,33.7712,-0.7883,-0.7331,-0.7606999999999999
Belarus,2019,37.3029,42.5392,13.3015,80.51685035039094,78.9532480587329,54.9042,8.743170340298215,6267.7351,130.8504,4.165,5.5982,2.2028,77.4551,123.2298,34.0724,-0.5076,-0.7942,-0.6509
Belarus,2020,36.7677,43.1005,12.0229,85.07335130867497,83.20918024341589,55.8414,8.740654932102839,6251.989,118.9342,4.049,5.5481,1.6517,77.789,125.1647,34.8152,-0.6831,-0.8602,-0.77165
Bosnia and Herzegovina,2011,30.7265,33.4375,20.3057,56.2116,31.098565436036118,37.9765,8.317339635338078,4094.2533,87.8363,27.582,3.6713,10.5031,46.0529,84.7529,11.4984,-0.2716,-0.4173,-0.34445000000000003
Bosnia and Herzegovina,2012,30.3049,33.4122,20.4775,55.03606666666666,32.3907085266069,41.2194,8.32843109077443,4139.9173,88.1451,28.01,2.0527,10.7142,46.3656,91.4833,12.7897,-0.2052,-0.1319,-0.16854999999999998
Bosnia and Herzegovina,2013,29.9666,33.0644,19.7515,53.860533333333336,34.33036669397107,44.4544,8.367934612393128,4306.7318,87.9312,27.49,0.0,10.7705,46.6954,96.6063,14.2931,-0.2014,-0.125,-0.1632
Bosnia and Herzegovina,2014,29.613,33.0111,19.7779,52.685,33.0813,46.7779,8.392236632455623,4412.6762,90.5523,27.517,0.0,11.3539,47.1308,97.9342,15.2155,-0.1859,-0.0895,-0.1377
Bosnia and Herzegovina,2015,29.3739,32.6818,19.7,54.737833333333334,38.80943333333333,50.031,8.447255309261614,4662.2587,88.292,27.695,0.0,10.9795,47.5712,97.8678,18.0469,-0.2509,-0.2308,-0.24085
Bosnia and Herzegovina,2016,29.1626,31.9989,19.7137,56.79066666666667,44.53756666666667,50.6911,8.492190144146006,4876.5347,88.244,25.408,0.0,10.7846,48.0249,98.0144,19.0748,-0.2439,-0.2095,-0.2267
Bosnia and Herzegovina,2017,29.2119,31.2462,19.9877,58.8435,50.2657,52.1703,8.536959739630202,5099.816,96.6459,20.527,0.81,11.0053,48.4918,100.3326,20.4261,-0.1684,-0.3294,-0.2489
Bosnia and Herzegovina,2018,28.9843,30.7766,20.141,63.9671,54.329075,54.1975,8.586766267885054,5360.252,98.4321,18.4,1.4171,11.047,48.9719,102.1865,21.1505,-0.3158,-0.3211,-0.31845
Bosnia and Herzegovina,2019,28.7681,30.3014,19.8266,69.0907,58.39245,56.7921,8.62753477692237,5583.2972,94.5161,15.692,0.5628,11.3881,49.465,112.2548,22.295,-0.3767,-0.3905,-0.3836
Bosnia and Herzegovina,2020,28.4014,31.027,18.7506,74.21430000000001,62.455825,57.0507,8.610820811055218,5490.7537,82.5216,15.868,0.0,9.5473,49.9711,106.3747,23.3508,-0.3742,-0.3026,-0.3384
Bulgaria,2011,29.7026,33.5999,17.8827,52.8249,34.10336617081153,93.7032,8.795680047144401,6605.6462,117.4181,11.26,4.2199,2.5712,72.6102,141.9383,17.0297,0.3294,-0.3367,-0.0036499999999999866
Bulgaria,2012,29.3849,33.5908,18.3853,56.2122,40.100900226165386,92.8541,8.808932492174877,6693.7698,123.9713,12.27,2.9546,2.6683,72.7685,147.3379,18.2007,0.3315,-0.2175,0.05700000000000001
Bulgaria,2013,29.0233,33.8344,19.6863,59.5995,45.90881746945589,94.8192,8.823660093972551,6793.0825,129.6887,12.941,0.8901,2.9862,72.9633,144.3551,19.5682,0.2963,-0.2313,0.0325
Bulgaria,2014,28.8427,33.6153,19.5666,62.9868,51.7619,92.0931,8.84525490136283,6941.3732,130.2484,11.424,0.0,3.0094,73.0845,131.3351,20.5011,0.3083,-0.2149,0.046700000000000005
Bulgaria,2015,28.6872,32.9816,20.0778,66.0592,56.1463,93.3991,8.891377572554363,7269.0259,126.7367,9.143,0.0,3.0016,73.1031,128.1033,22.4944,0.4178,-0.2081,0.10485
Bulgaria,2016,28.4847,32.4583,20.333,69.13159999999999,60.530699999999996,97.0266,8.934177260819428,7586.8917,122.8055,7.575,0.0,3.0207,73.175,125.906,23.8177,0.5564,-0.1981,0.17915
Bulgaria,2017,28.4958,32.1244,20.5232,72.204,64.9151,98.2475,8.974505449838771,7899.1106,129.6344,6.164,2.0616,3.5146,73.3905,120.5956,25.3925,0.538,-0.2333,0.15235
Bulgaria,2018,28.2373,31.9761,19.9835,75.14462499999999,67.49279999999999,97.4426,9.011254231554455,8194.793,129.1665,5.211,2.8145,3.2105,73.6002,119.3945,27.1034,0.4816,-0.1407,0.17045
Bulgaria,2019,28.1232,31.7999,20.5951,78.08525,70.0705,99.1036,9.062602833924274,8626.575,125.2604,4.148,3.1037,3.1172,73.7162,116.617,28.8837,0.4581,-0.1406,0.15875
Bulgaria,2020,27.7557,32.7301,20.1967,81.025875,72.6482,96.3371,9.040798509904818,8440.5142,110.4239,5.037,1.6724,2.8166,73.324,114.5967,30.5043,0.3077,-0.1505,0.07859999999999999
