country,year,SHADOW,SHADOW_MIMIC,TAX,ACCOUNT,DIGPAY,ATM_per100k,LGDPPC,GDPPC_USD,OPEN,UNEMP,INFL,REMIT,URBAN,MOBILE,BROADBAND,REG_QUALITY,RULE_OF_LAW,INST
Kazakhstan,2011,37.7151,39.0293,18.2578,42.1051,31.840939318256396,63.9832,9.129488397768133,9223.3021,73.1179,5.39,8.4529,0.0933,54.3996,147.9011,6.9929,-0.311,-0.5865,-0.44875
Kazakhstan,2012,37.5983,39.2145,13.3121,46.0392,38.93594465721865,67.7193,9.162400899865634,9531.9148,73.7237,5.29,5.1957,0.1361,54.6921,174.7094,9.4608,-0.3353,-0.6431,-0.48919999999999997
Kazakhstan,2013,37.5761,38.543,16.0302,49.9733,41.89204603339713,69.6267,9.206304830119638,9959.7259,65.4076,5.2,5.9428,0.1443,55.078,172.9553,11.1573,-0.3373,-0.6798,-0.50855
Kazakhstan,2014,36.896,38.295,14.1934,53.9074,46.7353,70.9475,9.232758213870557,10226.7101,64.972,5.06,6.8494,0.1813,55.5524,160.5026,12.0564,-0.1482,-0.5977,-0.37295
Kazakhstan,2015,36.9701,38.6224,9.8357,55.5041,49.1149,69.9256,9.229762789746978,10196.1226,53.0497,4.93,6.6783,0.1596,56.1106,145.4825,12.7238,-0.0714,-0.4919,-0.28165
Kazakhstan,2016,36.6046,38.6415,9.9243,57.1008,51.4945,72.4519,9.225369201240088,10151.4233,60.3116,4.96,14.3611,0.2798,56.7476,139.0512,12.7965,-0.1354,-0.5109,-0.32315
Kazakhstan,2017,36.0469,38.0948,10.303,58.6975,53.8741,72.7527,9.249971760406213,10404.2719,56.8254,4.9,7.4427,0.336,57.4586,143.1128,13.8114,0.0833,-0.4615,-0.18910000000000002
Kazakhstan,2018,36.1346,37.1794,11.7178,64.30025,59.8872,81.7395,9.27521121288942,10670.212,63.528,4.85,6.1637,0.3446,58.2388,137.6748,13.0002,0.0553,-0.3705,-0.1576
Kazakhstan,2019,35.7794,37.2346,11.7869,69.903,65.9003,82.9779,9.304712302671529,10989.6841,64.8586,4.8,5.3336,0.2786,59.0832,133.8797,13.0799,0.1127,-0.431,-0.15915
Kazakhstan,2020,35.4727,38.3889,8.3188,75.50575,71.9134,92.2902,9.265305337521871,10565.036,57.0264,4.89,6.7182,0.2188,59.9871,124.6985,13.4503,0.0539,-0.4154,-0.18075
Kyrgyz Republic,2011,37.1553,38.7456,18.390000833194353,3.7573,0.0,11.918,6.913223500967705,1005.4832,136.1798,3.644,16.6363,27.5695,35.2467,112.2007,0.6978,-0.4153,-0.9953,-0.7053
Kyrgyz Republic,2012,36.7708,39.6338,18.95711834487463,8.661733333333334,4.097452214911165,15.587,6.893501474455166,985.8473,139.6759,3.786,2.7684,30.7544,35.2189,119.3334,0.9587,-0.4992,-0.9346,-0.7169
Kyrgyz Republic,2013,36.7102,38.2765,17.965617739929996,13.566166666666668,9.623718997272206,20.5603,6.9752120379187526,1069.784,134.0268,3.881,6.6138,31.0564,35.1851,116.2179,2.3494,-0.4371,-0.9467,-0.6919
Kyrgyz Republic,2014,36.3669,37.7415,17.5487,18.4706,15.093,24.6597,6.9926313027269345,1088.5821,125.1262,4.02,7.5342,30.0321,35.1455,128.2305,2.8941,-0.5415,-0.8193,-0.6804
Kyrgyz Republic,2015,35.8534,37.5703,16.8017,25.627733333333335,22.08236666666667,30.0061,7.008190394748094,1105.6519,110.9616,4.138,6.5033,25.2719,35.1009,126.2844,3.5242,-0.5597,-0.838,-0.69885
Kyrgyz Republic,2016,35.4168,37.1226,16.9492,32.784866666666666,29.071733333333334,30.982,7.028481711924869,1128.3162,105.8236,4.294,0.3888,29.2761,35.0516,124.639,3.9433,-0.3906,-0.8008,-0.5957
Kyrgyz Republic,2017,34.5402,36.5701,17.0463,39.942,36.0611,33.0358,7.053743709527985,1157.1828,100.6174,4.425,3.1753,32.2705,34.9981,136.1376,4.148,-0.2937,-0.7135,-0.5036
Kyrgyz Republic,2018,34.2123,36.3599,17.9989,41.230199999999996,36.902775000000005,36.3014,7.069084105588315,1175.0713,98.8756,4.559,1.5427,32.5056,34.9409,137.7423,3.9518,-0.3502,-0.6922,-0.5212
Kyrgyz Republic,2019,33.7516,36.0072,15.9638,42.5184,37.74445,38.5481,7.091639780408222,1201.877,94.4303,5.45,1.1336,28.7859,34.8805,132.7767,4.1437,-0.4212,-0.7384,-0.5798
Kyrgyz Republic,2020,33.185,37.6041,14.0363,43.8066,38.586124999999996,41.1053,6.996982083432416,1093.3286,78.9923,5.945,6.3254,31.807,34.8174,109.7801,4.3366,-0.4846,-0.7295,-0.60705
Tajikistan,2011,41.475,40.7656,10.037176470588236,2.5349,0.0,7.0707,6.696253943308208,809.3682,79.7842,7.04,12.4315,41.738,26.4792,80.8201,0.0642,-0.9934,-1.2277,-1.11055
Tajikistan,2012,42.0564,40.295,10.068058823529412,5.509666666666666,2.57328775675969,8.8723,6.744670424673238,849.5191,83.1759,7.022,5.8312,42.2158,26.4102,81.4566,0.0674,-0.9521,-1.2277,-1.0899
Tajikistan,2013,42.4303,40.2008,10.098941176470587,8.484433333333332,6.71709515561286,11.0187,6.791089319164149,889.8824,71.7437,7.019,5.0096,43.7684,26.4883,91.7288,0.0706,-0.962,-1.2632,-1.1126
Tajikistan,2014,42.2822,39.7462,10.129823529411764,11.4592,8.7473,13.7698,6.830842916661176,925.971,54.6072,7.024,6.1044,37.136,26.5634,94.9386,0.0724,-0.9411,-1.1408,-1.04095
Tajikistan,2015,43.011,39.4062,10.160705882352941,23.31426666666667,20.476066666666668,14.5152,6.863715926812987,956.9163,49.9378,7.033,5.7146,27.3066,26.4788,98.2087,0.0694,-0.9221,-1.0909,-1.0065
Tajikistan,2016,43.2744,38.8824,10.191588235294118,35.169333333333334,32.20483333333333,14.8372,6.905104368421482,997.3526,55.7246,7.036,6.0046,26.7061,26.3719,106.0274,0.0677,-0.9548,-1.1009,-1.02785
Tajikistan,2017,43.0029,38.6427,10.222470588235295,47.0244,43.9336,12.4128,6.949150453203518,1042.2639,53.7861,7.035,4.134140917179133,29.685,26.2732,109.0035,0.066,-0.7907,-1.1642,-0.9774499999999999
Tajikistan,2018,42.9983,38.485,10.253352941176471,45.14035,41.2335,12.0106,6.998327159848276,1094.8002,55.8461,7.028,4.465334890514081,28.1177,26.2339,107.4422,0.0645,-0.7695,-1.1001,-0.9348000000000001
Tajikistan,2019,43.2154,37.5825,10.284235294117646,43.256299999999996,38.5334,15.2298,7.04607862185167,1148.3468,56.045,7.026,4.358587727888051,27.9718,26.1301,115.3729,0.063,-0.8009,-1.2464,-1.02365
Tajikistan,2020,43.002,37.6737,10.315117647058823,41.37225,35.8333,21.8597,7.0663827515736095,1171.9013,55.7491,7.576,6.466721391057684,26.8849,26.1925,62.2826,0.37,-0.8082,-1.2395,-1.02385
