country,year,SHADOW,SHADOW_MIMIC,TAX,ACCOUNT,DIGPAY,POS_ATM,CASHLESS_VAL,CASH,GDPPC_USD,OPEN,UNEMP,INFL,REMIT,URBAN,MOBILE,REG_QUALITY,RULE_OF_LAW,INST,MOBILE_COVERAGE,BROADBAND
Albania,2004,,,,,,,,,,,,,,,,,,,,
Albania,2005,,,,,,,,,,,,,,,,,,,,
Albania,2006,,,,,,,,,,,,,,,,,,,,
Albania,2007,,,,,,,,,,,,,,,,,,,,
Albania,2008,,,,,,,,,,,,,,,,,,,,
Albania,2009,,,,,,,,,,,,,,,,,,,,
Albania,2010,,,,,,,,,,,,,,,,,,,,
Albania,2011,,,,,,,,,,,,,,,,,,,,
Albania,2012,,,,,,,,,,,,,,,,,,,,
Albania,2013,,,,,,,,,,,,,,,,,,,,
Albania,2014,,,,,,,,,,,,,,,,,,,,
Albania,2015,,,,,,,,,,,,,,,,,,,,
Albania,2016,,,,,,,,,,,,,,,,,,,,
Albania,2017,,,,,,,,,,,,,,,,,,,,
Albania,2018,,,,,,,,,,,,,,,,,,,,
Albania,2019,,,,,,,,,,,,,,,,,,,,
Albania,2020,,,,,,,,,,,,,,,,,,,,
Albania,2021,,,,,,,,,,,,,,,,,,,,
Albania,2022,,,,,,,,,,,,,,,,,,,,
Armenia,2004,,,,,,,,,,,,,,,,,,,,
Armenia,2005,,,,,,,,,,,,,,,,,,,,
Armenia,2006,,,,,,,,,,,,,,,,,,,,
Armenia,2007,,,,,,,,,,,,,,,,,,,,
Armenia,2008,,,,,,,,,,,,,,,,,,,,
Armenia,2009,,,,,,,,,,,,,,,,,,,,
Armenia,2010,,,,,,,,,,,,,,,,,,,,
Armenia,2011,,,,,,,,,,,,,,,,,,,,
Armenia,2012,,,,,,,,,,,,,,,,,,,,
Armenia,2013,,,,,,,,,,,,,,,,,,,,
Armenia,2014,,,,,,,,,,,,,,,,,,,,
Armenia,2015,,,,,,,,,,,,,,,,,,,,
Armenia,2016,,,,,,,,,,,,,,,,,,,,
Armenia,2017,,,,,,,,,,,,,,,,,,,,
Armenia,2018,,,,,,,,,,,,,,,,,,,,
Armenia,2019,,,,,,,,,,,,,,,,,,,,
Armenia,2020,,,,,,,,,,,,,,,,,,,,
Armenia,2021,,,,,,,,,,,,,,,,,,,,
Armenia,2022,,,,,,,,,,,,,,,,,,,,
Azerbaijan,2004,,,,,,,,,,,,,,,,,,,,
Azerbaijan,2005,,,,,,,,,,,,,,,,,,,,
Azerbaijan,2006,,,,,,,,,,,,,,,,,,,,
Azerbaijan,2007,,,,,,,,,,,,,,,,,,,,
Azerbaijan,2008,,,,,,,,,,,,,,,,,,,,
Azerbaijan,2009,,,,,,,,,,,,,,,,,,,,
Azerbaijan,2010,,,,,,,,,,,,,,,,,,,,
Azerbaijan,2011,,,,,,,,,,,,,,,,,,,,
Azerbaijan,2012,,,,,,,,,,,,,,,,,,,,
Azerbaijan,2013,,,,,,,,,,,,,,,,,,,,
Azerbaijan,2014,,,,,,,,,,,,,,,,,,,,
Azerbaijan,2015,,,,,,,,,,,,,,,,,,,,
Azerbaijan,2016,,,,,,,,,,,,,,,,,,,,
Azerbaijan,2017,,,,,,,,,,,,,,,,,,,,
Azerbaijan,2018,,,,,,,,,,,,,,,,,,,,
Azerbaijan,2019,,,,,,,,,,,,,,,,,,,,
Azerbaijan,2020,,,,,,,,,,,,,,,,,,,,
Azerbaijan,2021,,,,,,,,,,,,,,,,,,,,
Azerbaijan,2022,,,,,,,,,,,,,,,,,,,,
Belarus,2004,,,,,,,,,,,,,,,,,,,,
Belarus,2005,,,,,,,,,,,,,,,,,,,,
Belarus,2006,,,,,,,,,,,,,,,,,,,,
Belarus,2007,,,,,,,,,,,,,,,,,,,,
Belarus,2008,,,,,,,,,,,,,,,,,,,,
Belarus,2009,,,,,,,,,,,,,,,,,,,,
Belarus,2010,,,,,,,,,,,,,,,,,,,,
Belarus,2011,,,,,,,,,,,,,,,,,,,,
Belarus,2012,,,,,,,,,,,,,,,,,,,,
Belarus,2013,,,,,,,,,,,,,,,,,,,,
Belarus,2014,,,,,,,,,,,,,,,,,,,,
Belarus,2015,,,,,,,,,,,,,,,,,,,,
Belarus,2016,,,,,,,,,,,,,,,,,,,,
Belarus,2017,,,,,,,,,,,,,,,,,,,,
Belarus,2018,,,,,,,,,,,,,,,,,,,,
Belarus,2019,,,,,,,,,,,,,,,,,,,,
Belarus,2020,,,,,,,,,,,,,,,,,,,,
Belarus,2021,,,,,,,,,,,,,,,,,,,,
Belarus,2022,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2004,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2005,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2006,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2007,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2008,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2009,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2010,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2011,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2012,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2013,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2014,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2015,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2016,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2017,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2018,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2019,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2020,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2021,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2022,,,,,,,,,,,,,,,,,,,,
Bulgaria,2004,,,,,,,,,,,,,,,,,,,,
Bulgaria,2005,,,,,,,,,,,,,,,,,,,,
Bulgaria,2006,,,,,,,,,,,,,,,,,,,,
Bulgaria,2007,,,,,,,,,,,,,,,,,,,,
Bulgaria,2008,,,,,,,,,,,,,,,,,,,,
Bulgaria,2009,,,,,,,,,,,,,,,,,,,,
Bulgaria,2010,,,,,,,,,,,,,,,,,,,,
Bulgaria,2011,,,,,,,,,,,,,,,,,,,,
Bulgaria,2012,,,,,,,,,,,,,,,,,,,,
Bulgaria,2013,,,,,,,,,,,,,,,,,,,,
Bulgaria,2014,,,,,,,,,,,,,,,,,,,,
Bulgaria,2015,,,,,,,,,,,,,,,,,,,,
Bulgaria,2016,,,,,,,,,,,,,,,,,,,,
