country,year,SHADOW,SHADOW_MIMIC,TAX,ACCOUNT,DIGPAY,POS_ATM,CASHLESS_VAL,CASH,GDPPC_USD,OPEN,UNEMP,INFL,REMIT,URBAN,MOBILE,REG_QUALITY,RULE_OF_LAW,INST,MOBILE_COVERAGE,BROADBAND
Kazakhstan,2004,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2005,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2006,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2007,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2008,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2009,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2010,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2011,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2012,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2013,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2014,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2015,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2016,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2017,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2018,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2019,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2020,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2021,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2022,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2004,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2005,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2006,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2007,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2008,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2009,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2010,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2011,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2012,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2013,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2014,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2015,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2016,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2017,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2018,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2019,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2020,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2021,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2022,,,,,,,,,,,,,,,,,,,,
Tajikistan,2004,,,,,,,,,,,,,,,,,,,,
Tajikistan,2005,,,,,,,,,,,,,,,,,,,,
Tajikistan,2006,,,,,,,,,,,,,,,,,,,,
Tajikistan,2007,,,,,,,,,,,,,,,,,,,,
Tajikistan,2008,,,,,,,,,,,,,,,,,,,,
Tajikistan,2009,,,,,,,,,,,,,,,,,,,,
Tajikistan,2010,,,,,,,,,,,,,,,,,,,,
Tajikistan,2011,,,,,,,,,,,,,,,,,,,,
Tajikistan,2012,,,,,,,,,,,,,,,,,,,,
Tajikistan,2013,,,,,,,,,,,,,,,,,,,,
Tajikistan,2014,,,,,,,,,,,,,,,,,,,,
Tajikistan,2015,,,,,,,,,,,,,,,,,,,,
Tajikistan,2016,,,,,,,,,,,,,,,,,,,,
Tajikistan,2017,,,,,,,,,,,,,,,,,,,,
Tajikistan,2018,,,,,,,,,,,,,,,,,,,,
Tajikistan,2019,,,,,,,,,,,,,,,,,,,,
Tajikistan,2020,,,,,,,,,,,,,,,,,,,,
Tajikistan,2021,,,,,,,,,,,,,,,,,,,,
Tajikistan,2022,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2004,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2005,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2006,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2007,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2008,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2009,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2010,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2011,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2012,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2013,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2014,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2015,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2016,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2017,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2018,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2019,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2020,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2021,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2022,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2004,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2005,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2006,,,,,,,,,,,,,,,,,,,,
