country,year,SHADOW,SELFEMP,DFS_INDEX,ACCOUNT,DIGPAY,ATM_per100k,TAX,LGDPPC,OPEN,UNEMP,INFL,REMIT,URBAN,MOBILE,BROADBAND,INST
Armenia,2011,37.751,48.11,23.2,17.487,6.958,41.322,17.219,7.987,69.436,18.884,7.65,17.734,64.321,109.85,5.493,-0.008
Armenia,2012,37.506,47.446,26.83,17.548,9.337,48.038,17.492,8.058,75.962,17.511,2.558,18.033,64.327,113.697,7.256,0.025
Armenia,2013,37.269,46.357,29.1,17.608,11.25,51.686,21.586,8.091,77.555,16.576,5.79,19.711,64.358,114.5,8.317,0.021
Armenia,2014,36.53,46.154,31.75,17.669,12.271,57.444,21.599,8.129,75.779,17.498,2.981,17.904,64.414,118.365,9.338,-0.146
Armenia,2015,36.221,44.813,41.63,27.699,22.019,58.994,20.931,8.164,71.682,18.261,3.732,14.133,64.493,118.599,9.802,-0.092
Armenia,2016,35.666,43.956,51.34,37.729,31.767,60.061,21.277,8.17,76.078,17.617,0.0,13.108,64.593,117.671,10.25,-0.033
Armenia,2017,35.312,42.348,61.74,47.759,41.516,63.01,20.781,8.247,87.202,17.704,0.97,13.348,64.713,119.676,10.817,-0.027
Armenia,2018,34.587,42.015,64.09,49.656,43.004,65.035,20.87,8.301,92.473,18.966,2.52,11.943,64.85,123.0,11.94,0.033
Armenia,2019,34.618,39.459,66.76,51.553,44.493,67.892,22.285,8.376,97.847,18.304,1.443,11.219,65.005,124.614,13.282,0.005
Armenia,2020,33.974,39.702,68.34,53.451,45.982,67.846,21.86,8.302,70.121,18.175,1.211,10.497,65.174,120.682,14.888,0.066
Azerbaijan,2011,47.062,68.288,16.07,14.901,3.487,29.86,12.225,8.547,80.508,5.42,7.858,2.87,53.508,109.334,10.521,-0.601
Azerbaijan,2012,45.822,66.692,21.94,19.651,10.139,31.282,12.779,8.555,78.263,5.19,1.066,2.856,53.808,107.988,14.607,-0.62
Azerbaijan,2013,44.583,66.513,27.87,24.401,16.452,33.254,13.388,8.599,74.676,4.97,2.416,2.337,54.182,106.583,18.015,-0.528
Azerbaijan,2014,43.057,66.774,32.83,29.152,20.416,35.56,14.212,8.614,69.483,4.91,1.373,2.454,54.632,109.567,19.708,-0.462
Azerbaijan,2015,42.176,67.738,33.72,28.958,21.803,36.473,15.603,8.613,72.602,4.96,4.028,2.393,55.157,109.682,19.476,-0.484
Azerbaijan,2016,41.527,68.185,33.05,28.765,23.19,33.217,14.52,8.57,90.077,5.0,12.443,1.698,55.758,103.248,18.277,-0.445
Azerbaijan,2017,40.781,68.263,33.44,28.571,24.577,32.824,13.134,8.562,90.402,5.0,12.936,2.773,56.433,101.59,18.109,-0.449
Azerbaijan,2018,40.498,68.315,37.17,32.109,28.171,33.822,12.944,8.568,91.673,4.9,2.268,2.602,57.184,102.987,18.834,-0.427
Azerbaijan,2019,39.967,68.307,41.11,35.646,31.765,35.387,14.19,8.584,85.818,5.0,2.611,2.647,58.131,106.328,19.218,-0.389
Azerbaijan,2020,39.053,68.075,44.67,39.184,35.359,35.94,15.186,8.535,72.018,7.24,2.76,3.286,58.294,101.597,19.599,-0.362
Belarus,2011,40.39,8.594,62.23,58.602,48.95,41.246,14.509,8.69,157.974,6.024,53.229,1.442,75.06,112.902,22.148,-1.165
Belarus,2012,39.785,8.273,69.16,63.063,55.304,46.237,14.663,8.708,153.085,5.962,59.22,1.603,75.528,112.822,26.755,-0.884
Belarus,2013,39.406,8.065,76.01,67.524,61.437,51.28,13.355,8.719,119.816,5.942,18.312,1.607,75.95,117.434,29.435,-0.929
Belarus,2014,38.555,7.907,81.78,71.985,66.394,54.877,12.698,8.734,110.651,5.908,18.12,1.562,76.34,120.366,28.338,-0.821
Belarus,2015,38.564,7.87,85.42,75.042,70.48,55.653,14.173,8.694,115.915,5.881,13.534,1.65,76.626,120.67,30.604,-0.867
